timestamp,value,value_classification,time_until_update,Close,change,RSI,SMA200,SMA50,SMA5,position,fear,greed,overbrough,oversell,10d_low,buy_ranking,sell_ranking
2018-02-01,30,Fear,,9170.5400390625,,,,,,0,0,0,0,0,,0,0
2018-02-02,15,Extreme Fear,,8830.75,-0.037052347802326024,,,,,0,1,0,0,0,,1,0
2018-02-03,40,Fear,,9174.91015625,0.03897292486481896,,,,,0,0,0,0,0,,0,0
2018-02-04,24,Extreme Fear,,8277.009765625,-0.09786476110758924,,,,,0,1,0,0,0,,1,0
2018-02-05,11,Extreme Fear,,6955.27001953125,-0.15968807377551097,,,,8481.69599609375,0,1,0,0,0,,1,0
2018-02-06,8,Extreme Fear,,7754.0,0.11483809805022926,,,,8198.38798828125,0,1,0,0,0,,1,0
2018-02-07,36,Fear,,7621.2998046875,-0.01711377293171268,,,,7956.49794921875,0,0,0,0,0,,0,0
2018-02-08,30,Fear,,8265.58984375,0.08453807822469184,,,,7774.63388671875,0,0,0,0,0,,0,0
2018-02-09,44,Fear,,8736.98046875,0.057030488314931294,,,,7866.62802734375,0,0,0,0,0,,0,0
2018-02-10,54,Neutral,,8621.900390625,-0.013171607575021227,,,,8199.9541015625,1,0,0,0,0,6955.27001953125,0,0
2018-02-11,31,Fear,,8129.97021484375,-0.05705588715872301,,,,8275.14814453125,0,0,0,0,0,6955.27001953125,0,0
2018-02-12,42,Fear,,8926.5703125,0.09798315081177211,,,,8536.20224609375,0,0,0,0,0,6955.27001953125,0,0
2018-02-13,35,Fear,,8598.3095703125,-0.03677344497335466,,,,8602.74619140625,0,0,0,0,0,6955.27001953125,0,0
2018-02-14,55,Greed,,9494.6298828125,0.10424378247495736,,,,8754.27607421875,1,0,0,0,0,6955.27001953125,0,0
2018-02-15,71,Greed,,10166.400390625,0.07075267978887334,56.03503222219711,,,9063.17607421875,1,0,1,0,0,7621.2998046875,0,1
2018-02-16,67,Greed,,10233.900390625,0.006639518158486624,56.419001765037045,,,9483.962109375,1,0,0,0,0,7621.2998046875,0,0
2018-02-17,74,Greed,,11112.7001953125,0.0858714440383399,61.17334816543324,,,9921.1880859375,1,0,1,0,0,8129.97021484375,0,1
