timestamp,Open,Close,Low,High,Volume,change,RSI,SMA200,SMA50,SMA5,overbrough,oversell,10d_low,buy_ranking,sell_ranking
2020-12-31,28841.57421875,29001.720703125,28201.9921875,29244.876953125,46754964848,,,,,,0,0,,0,0
2021-01-01,28994.009765625,29374.15234375,28803.5859375,29600.626953125,40730301359,0.012841708408869223,,,,,0,0,,0,0
2021-01-02,29376.455078125,32127.267578125,29091.181640625,33155.1171875,67865420765,0.09372577639540935,,,,,0,0,,0,0
2021-01-03,32129.408203125,32782.0234375,32052.31640625,34608.55859375,78665235202,0.020380066800975483,,,,,0,0,,0,0
2021-01-04,32810.94921875,31971.9140625,28722.755859375,33440.21875,81163475344,-0.024712000360334718,,,,31051.415625,0,0,,0,0
2021-01-05,31977.041015625,33992.4296875,30221.1875,34437.58984375,67547324782,0.06319658000613337,,,,32049.557421875,0,0,,0,0
2021-01-06,34013.61328125,36824.36328125,33514.03515625,36879.69921875,75289433811,0.08331071417326141,,,,33539.599609375,0,0,,0,0
2021-01-07,36833.875,39371.04296875,36491.19140625,40180.3671875,84762141031,0.0691574669750421,,,,34988.3546875,0,0,,0,0
2021-01-08,39381.765625,40797.609375,36838.63671875,41946.73828125,88107519480,0.0362338992996023,,,,36591.471875,0,0,,0,0
2021-01-09,40788.640625,40254.546875,38980.875,41436.3515625,61984162837,-0.013311135341493308,,,,38247.9984375,0,0,29001.720703125,0,0
2021-01-10,40254.21875,38356.44140625,35984.62890625,41420.19140625,79980747690,-0.047152573214749416,,,,39120.80078125,0,0,29374.15234375,0,0
2021-01-11,38346.53125,35566.65625,30549.599609375,38346.53125,123320567399,-0.07273315912449108,,,,38869.259375,0,0,31971.9140625,0,0
2021-01-12,35516.359375,33922.9609375,32697.9765625,36568.52734375,74773277909,-0.046214502171538774,,,,37779.64296875,0,0,31971.9140625,0,0
2021-01-13,33915.12109375,37316.359375,32584.66796875,37599.9609375,69364315979,0.10003249550509552,,,,37083.39296875,0,0,31971.9140625,0,0
2021-01-14,37325.109375,39187.328125,36868.5625,39966.40625,63615990033,0.050138030111625875,69.92869962549554,,,36869.94921875,0,0,33922.9609375,0,0
2021-01-15,39156.70703125,36825.3671875,34659.58984375,39577.7109375,67760757881,-0.06027358971670127,63.59838222004402,,,36563.734375,0,0,33922.9609375,0,0
2021-01-16,36821.6484375,36178.140625,35633.5546875,37864.3671875,57706187875,-0.017575563040677422,61.943622507887106,,,36686.03125,0,0,33922.9609375,0,0
2021-01-17,36163.6484375,35791.27734375,34069.3203125,36722.3515625,52359854336,-0.010693288117263444,60.92325220371633,,,37059.69453125,0,0,33922.9609375,0,0
2021-01-18,35792.23828125,36630.07421875,34883.84375,37299.28515625,49511702429,0.023435790428599335,62.370598641595166,,,36922.4375,0,0,33922.9609375,0,0
2021-01-19,36642.234375,36069.8046875,36069.8046875,37755.890625,57244195486,-0.015295342507474663,60.75199862910371,,,36298.9328125,0,0,33922.9609375,0,0
2021-01-20,36050.11328125,35547.75,33570.4765625,36378.328125,66834573161,-0.014473454791977813,59.210088660765294,,,36043.409375,0,0,33922.9609375,0,0
2021-01-21,35549.3984375,30825.69921875,30250.75,35552.6796875,75643067688,-0.1328368400602007,47.47334506162518,,,34972.92109375,0,0,30825.69921875,0,0
2021-01-22,30817.625,33005.76171875,28953.373046875,33811.8515625,77207272511,0.07072224005462169,52.18564753360021,,,34415.81796875,0,0,30825.69921875,0,0
2021-01-23,32985.7578125,32067.642578125,31493.16015625,33360.9765625,48354737975,-0.02842289017956734,50.10265418260496,,,33503.331640625,0,0,30825.69921875,0,0
2021-01-24,32064.376953125,32289.37890625,31106.685546875,32944.0078125,48643830599,0.006914643868341619,50.604519929530014,,,32747.246484375,0,0,30825.69921875,0,0
2021-01-25,32285.798828125,32366.392578125,32087.787109375,34802.7421875,59897054838,0.0023851084933719235,50.78965223390739,,,32110.975,0,0,30825.69921875,0,0
2021-01-26,32358.61328125,32569.849609375,31030.265625,32794.55078125,60255421470,0.006286058316783416,51.30885209286705,,,32459.805078125,0,0,30825.69921875,0,0
2021-01-27,32564.029296875,30432.546875,29367.138671875,32564.029296875,62576762015,-0.06562212475675022,45.8376979384267,,,31945.162109375,0,0,30432.546875,0,0
2021-01-28,30441.041015625,33466.09765625,30023.20703125,33858.3125,76517157706,0.09968113394222766,53.428336542956124,,,32224.853125,0,0,30432.546875,0,0
2021-01-29,34318.671875,34316.38671875,32064.814453125,38406.26171875,117894572511,0.02540747568580648,55.31854003788619,,,32630.2546875,0,0,30432.546875,0,0
2021-01-30,34295.93359375,34269.5234375,32940.1875,34834.70703125,65141828798,-0.0013656239986477026,55.18559768949769,,,33010.880859375,0,0,30432.546875,0,0
