timestamp,value,value_classification,time_until_update,Open,Close,Low,High,Volume,change,RSI,SMA200,SMA50,SMA5,position,fear,greed,overbrough,oversell,10d_low,buy_ranking,sell_ranking
2022-06-05,10,Extreme Fear,,29835.1171875,29906.662109375,29574.44921875,30117.744140625,17264085441,0.00247203631266113,52.28657639108063,,,29942.10703125,0,1,0,0,0,28627.57421875,1,0
2022-06-06,13,Extreme Fear,,29910.283203125,31370.671875,29894.1875,31693.291015625,31947336829,0.048952630028413324,58.92897878861927,,,30256.425390625,0,1,0,0,0,28814.900390625,1,0
2022-06-07,15,Extreme Fear,,31371.7421875,31155.478515625,29311.68359375,31489.68359375,40770974039,-0.006859698773187373,57.6583565953938,,,30394.0234375,0,1,0,0,0,29445.95703125,1,0
2022-06-08,17,Extreme Fear,,31151.48046875,30214.35546875,29944.404296875,31253.69140625,30242059107,-0.03020730515832104,52.342822746495976,,,30496.01640625,0,1,0,0,0,29704.390625,1,0
2022-06-09,11,Extreme Fear,,30215.279296875,30111.998046875,30020.265625,30609.310546875,21692004719,-0.003387708269364409,51.78366413396586,,,30551.833203125,0,1,0,0,0,29704.390625,1,0
2022-06-10,13,Extreme Fear,,30110.330078125,29083.8046875,28978.146484375,30245.80859375,29867476527,-0.03414563715680452,46.41931821077018,,,30387.26171875,0,1,0,0,0,29083.8046875,1,0
2022-06-11,12,Extreme Fear,,29084.666015625,28360.810546875,28236.212890625,29401.916015625,27246574439,-0.024858994495164377,43.04279939629581,,,29785.289453125,0,1,0,0,0,28360.810546875,1,0
2022-06-12,14,Extreme Fear,,28373.513671875,26762.6484375,26762.6484375,28502.685546875,34163220274,-0.056351073137826724,36.68970420515199,,,28906.7234375,0,1,0,0,0,26762.6484375,1,0
2022-06-13,11,Extreme Fear,,26737.578125,22487.388671875,22141.2578125,26795.58984375,68204556440,-0.15974726027617203,25.743230111547515,,,27361.330078125,0,1,0,0,1,22487.388671875,2,0
2022-06-14,8,Extreme Fear,,22487.986328125,22206.79296875,20950.818359375,23018.951171875,50913575242,-0.012477914053041661,25.21157114099872,,,25780.2890625,0,1,0,0,1,22206.79296875,2,0
