,Datetime,open,low,high,close,24 period ATR,Short.,Long.,enter_long,exit_long,enter_short,exit_short
0,2022-11-13 12:00:00+00:00,1240.88037109375,1238.6842041015625,1240.88037109375,1238.6842041015625,,,,0,0,0,0
1,2022-11-13 12:15:00+00:00,1238.4310302734375,1236.9881591796875,1238.701904296875,1236.9881591796875,,,,0,0,0,0
2,2022-11-13 12:30:00+00:00,1237.221435546875,1237.018310546875,1238.4049072265625,1237.533203125,,,,0,0,0,0
3,2022-11-13 12:45:00+00:00,1237.8291015625,1237.8291015625,1239.8587646484375,1238.786865234375,,,,0,0,0,0
4,2022-11-13 13:00:00+00:00,1238.052734375,1235.6702880859375,1238.052734375,1237.40966796875,,,,0,0,0,0
5,2022-11-13 13:15:00+00:00,1237.483154296875,1236.7528076171875,1238.8206787109375,1236.7528076171875,,,,0,0,0,0
6,2022-11-13 13:30:00+00:00,1236.298828125,1235.4779052734375,1243.0408935546875,1243.0408935546875,,,,0,0,0,0
7,2022-11-13 13:45:00+00:00,1243.114501953125,1240.53125,1243.114501953125,1240.53125,,,,0,0,0,0
8,2022-11-13 14:00:00+00:00,1240.60302734375,1240.54150390625,1243.2340087890625,1243.159912109375,,,,0,0,0,0
9,2022-11-13 14:15:00+00:00,1243.177978515625,1238.677978515625,1243.177978515625,1238.677978515625,,,,0,0,0,0
10,2022-11-13 14:30:00+00:00,1238.5738525390625,1237.796875,1239.72705078125,1238.4393310546875,,,,0,0,0,0
11,2022-11-13 14:45:00+00:00,1238.0966796875,1237.981689453125,1239.4901123046875,1239.16943359375,,,,0,0,0,0
12,2022-11-13 15:00:00+00:00,1239.01318359375,1236.6488037109375,1239.864501953125,1236.6488037109375,,,,0,0,0,0
13,2022-11-13 15:15:00+00:00,1236.7330322265625,1229.2471923828125,1237.6119384765625,1230.365966796875,,,,0,0,0,0
14,2022-11-13 15:30:00+00:00,1230.61669921875,1229.9117431640625,1233.146240234375,1233.146240234375,,,,0,0,0,0
15,2022-11-13 15:45:00+00:00,1233.2314453125,1230.774658203125,1233.830810546875,1231.2242431640625,,,,0,0,0,0
16,2022-11-13 16:00:00+00:00,1231.347412109375,1230.2130126953125,1231.4937744140625,1230.3458251953125,,,,0,0,0,0
17,2022-11-13 16:15:00+00:00,1230.2779541015625,1228.1661376953125,1230.2779541015625,1228.962890625,,,,0,0,0,0
18,2022-11-13 16:30:00+00:00,1229.3453369140625,1228.537109375,1231.5263671875,1229.1878662109375,,,,0,0,0,0
19,2022-11-13 16:45:00+00:00,1229.4610595703125,1229.4610595703125,1234.243896484375,1233.1461181640625,,,,0,0,0,0
20,2022-11-13 17:00:00+00:00,1233.0989990234375,1229.76806640625,1233.0989990234375,1229.76806640625,,,,0,0,0,0
21,2022-11-13 17:15:00+00:00,1229.2139892578125,1224.52099609375,1229.2139892578125,1226.54931640625,,,,0,0,0,0
22,2022-11-13 17:30:00+00:00,1226.266845703125,1223.1922607421875,1227.30859375,1227.30859375,,,,0,0,0,0
