Date,Open,Close,Low,High,Volume
2022-03-26,44349.859375,44500.828125,44166.2734375,44735.99609375,16950455995
2022-03-27,44505.35546875,46820.4921875,44437.29296875,46827.546875,28160889722
2022-03-28,46821.8515625,47128.00390625,46690.203125,48086.8359375,36362175703
2022-03-29,47100.4375,47465.73046875,47100.4375,48022.2890625,31397059069
2022-03-30,47456.8984375,47062.6640625,46746.2109375,47655.1484375,29333883962
2022-03-31,47062.1484375,45538.67578125,45390.5390625,47512.02734375,33327427106
2022-04-01,45554.1640625,46281.64453125,44403.140625,46616.2421875,38162644287
2022-04-02,46285.5,45868.94921875,45782.51171875,47028.28125,29336594194
2022-04-03,45859.12890625,46453.56640625,45634.10546875,47313.4765625,25414397610
2022-04-04,46445.2734375,46622.67578125,45235.81640625,46791.08984375,32499785455
2022-04-05,46624.5078125,45555.9921875,45544.80859375,47106.140625,29640604055
2022-04-06,45544.35546875,43206.73828125,43193.953125,45544.35546875,39393395788
2022-04-07,43207.5,43503.84765625,42899.90625,43860.69921875,26101973106
2022-04-08,43505.13671875,42287.6640625,42183.2890625,43903.01953125,27215995394
2022-04-09,42282.078125,42782.13671875,42183.25390625,42786.81640625,16050772496
2022-04-10,42781.08984375,42207.671875,42021.20703125,43376.37890625,17654475582
2022-04-11,42201.0390625,39521.90234375,39373.05859375,42424.58984375,33949912166
2022-04-12,39533.71484375,40127.18359375,39388.328125,40617.5859375,30991500854
2022-04-13,40123.5703125,41166.73046875,39712.74609375,41430.0546875,27691105228
2022-04-14,41160.21875,39935.515625,39695.74609375,41451.48046875,24342001973
2022-04-15,39939.40234375,40553.46484375,39866.83203125,40617.72265625,21756855753
2022-04-16,40552.31640625,40424.484375,40078.42578125,40633.6796875,16833150693
2022-04-17,40417.77734375,39716.953125,39620.89453125,40570.7265625,19087633042
2022-04-18,39721.203125,40826.21484375,38696.19140625,40986.3203125,33705182072
2022-04-19,40828.17578125,41502.75,40618.6328125,41672.9609375,25303206547
2022-04-20,41501.74609375,41374.37890625,40961.09765625,42126.30078125,27819532341
2022-04-21,41371.515625,40527.36328125,40063.828125,42893.58203125,35372786395
2022-04-22,40525.86328125,39740.3203125,39315.41796875,40777.7578125,28011716745
2022-04-23,39738.72265625,39486.73046875,39352.203125,39935.859375,16138021249
2022-04-24,39478.375,39469.29296875,39233.5390625,39845.92578125,17964398167
2022-04-25,39472.60546875,40458.30859375,38338.37890625,40491.75390625,35445730570
2022-04-26,40482.2578125,38385.76171875,38253.0859375,40661.953125,32025737216
