Date,Open,Close,Low,High,Close,Volume
2018-03-24 00:00:00,8901.950195,8668.120117,8665.700195,8996.179688,8668.120117,5664600064
2018-03-25 00:00:00,8612.80957,8495.780273,8449.099609,8682.009766,8495.780273,4569880064
2018-03-26 00:00:00,8498.469727,8209.400391,7921.430176,8530.080078,8209.400391,5921039872
2018-03-27 00:00:00,8200,7833.040039,7797.279785,8232.780273,7833.040039,5378250240
2018-03-28 00:00:00,7836.830078,7954.47998,7809.169922,8122.890137,7954.47998,4935289856
2018-03-29 00:00:00,7979.069824,7165.700195,7081.379883,7994.330078,7165.700195,6361229824
2018-03-30 00:00:00,7171.450195,6890.52002,6683.930176,7276.660156,6890.52002,6289509888
2018-03-31 00:00:00,6892.47998,6973.529785,6863.52002,7207.850098,6973.529785,4553269760
2018-04-01 00:00:00,7003.060059,6844.22998,6526.870117,7060.950195,6844.22998,4532100096
2018-04-02 00:00:00,6844.859863,7083.799805,6816.580078,7135.470215,7083.799805,4333440000
2018-04-03 00:00:00,7102.259766,7456.109863,7072.490234,7530.939941,7456.109863,5499700224
2018-04-04 00:00:00,7456.410156,6853.839844,6803.879883,7469.879883,6853.839844,4936000000
2018-04-05 00:00:00,6848.649902,6811.470215,6644.799805,6933.819824,6811.470215,5639320064
2018-04-06 00:00:00,6815.959961,6636.319824,6575,6857.490234,6636.319824,3766810112
2018-04-07 00:00:00,6630.509766,6911.089844,6630.509766,7050.540039,6911.089844,3976610048
2018-04-08 00:00:00,6919.97998,7023.52002,6919.97998,7111.560059,7023.52002,3652499968
2018-04-09 00:00:00,7044.319824,6770.72998,6661.990234,7178.109863,6770.72998,4894060032
2018-04-10 00:00:00,6795.439941,6834.759766,6704.149902,6872.410156,6834.759766,4272750080
2018-04-11 00:00:00,6843.470215,6968.319824,6817.589844,6968.319824,6968.319824,4641889792
2018-04-12 00:00:00,6955.379883,7889.25,6806.509766,7899.22998,7889.25,8906250240
2018-04-13 00:00:00,7901.089844,7895.959961,7758.930176,8183.959961,7895.959961,7764460032
2018-04-14 00:00:00,7874.669922,7986.240234,7846,8140.709961,7986.240234,5191430144
2018-04-15 00:00:00,7999.330078,8329.110352,7999.330078,8338.419922,8329.110352,5244480000
2018-04-16 00:00:00,8337.570313,8058.669922,7925.72998,8371.150391,8058.669922,5631309824
2018-04-17 00:00:00,8071.660156,7902.089844,7881.720215,8285.959961,7902.089844,6900879872
2018-04-18 00:00:00,7944.430176,8163.419922,7886.009766,8197.799805,8163.419922,6529909760
2018-04-19 00:00:00,8159.27002,8294.30957,8138.779785,8298.69043,8294.30957,7063209984
2018-04-20 00:00:00,8286.879883,8845.830078,8244.540039,8880.230469,8845.830078,8438110208
2018-04-21 00:00:00,8848.790039,8895.580078,8652.150391,8997.570313,8895.580078,7548550144
2018-04-22 00:00:00,8925.05957,8802.459961,8779.610352,9001.639648,8802.459961,6629899776
2018-04-23 00:00:00,8794.389648,8930.879883,8788.80957,8958.549805,8930.879883,6925190144
2018-04-24 00:00:00,8934.339844,9697.5,8927.830078,9732.610352,9697.5,10678800384
2018-04-25 00:00:00,9701.030273,8845.740234,8799.839844,9745.320313,8845.740234,11083100160
2018-04-26 00:00:00,8867.320313,9281.509766,8727.089844,9281.509766,9281.509766,8970559488
2018-04-27 00:00:00,9290.629883,8987.049805,8987.049805,9375.469727,8987.049805,7566289920
2018-04-28 00:00:00,8939.269531,9348.480469,8931.990234,9412.089844,9348.480469,7805479936
2018-04-29 00:00:00,9346.410156,9419.080078,9193.709961,9531.490234,9419.080078,8853000192
2018-04-30 00:00:00,9426.110352,9240.549805,9166.80957,9477.139648,9240.549805,8673920000
2018-05-01 00:00:00,9251.469727,9119.009766,8891.049805,9255.879883,9119.009766,7713019904
2018-05-02 00:00:00,9104.599609,9235.919922,9015.139648,9256.519531,9235.919922,7558159872
2018-05-03 00:00:00,9233.969727,9743.860352,9188.150391,9798.330078,9743.860352,10207299584
2018-05-04 00:00:00,9695.5,9700.759766,9585.959961,9779.200195,9700.759766,8217829888
2018-05-05 00:00:00,9700.280273,9858.150391,9695.120117,9964.5,9858.150391,7651939840
2018-05-06 00:00:00,9845.30957,9654.799805,9465.25,9940.139648,9654.799805,7222280192
2018-05-07 00:00:00,9645.669922,9373.009766,9231.530273,9665.849609,9373.009766,7394019840
2018-05-08 00:00:00,9380.870117,9234.820313,9127.769531,9462.75,9234.820313,7415869952
2018-05-09 00:00:00,9223.730469,9325.179688,9031.620117,9374.759766,9325.179688,7226890240
2018-05-10 00:00:00,9325.959961,9043.94043,9040.519531,9396.040039,9043.94043,6906699776
2018-05-11 00:00:00,9052.959961,8441.490234,8394.459961,9052.959961,8441.490234,8488520192
2018-05-12 00:00:00,8441.44043,8504.889648,8223.5,8664.860352,8504.889648,6821380096
2018-05-13 00:00:00,8515.490234,8723.94043,8395.120117,8773.549805,8723.94043,5866379776
2018-05-14 00:00:00,8713.099609,8716.790039,8367.969727,8881.120117,8716.790039,7364149760
2018-05-15 00:00:00,8705.19043,8510.379883,8456.450195,8836.19043,8510.379883,6705710080
2018-05-16 00:00:00,8504.410156,8368.830078,8175.490234,8508.429688,8368.830078,6760220160
2018-05-17 00:00:00,8370.049805,8094.319824,8054.120117,8445.540039,8094.319824,5862530048
2018-05-18 00:00:00,8091.830078,8250.969727,7974.819824,8274.120117,8250.969727,5764190208
2018-05-19 00:00:00,8255.730469,8247.179688,8183.350098,8372.05957,8247.179688,4712399872
2018-05-20 00:00:00,8246.990234,8513.25,8205.240234,8562.410156,8513.25,5191059968
2018-05-21 00:00:00,8522.330078,8418.990234,8365.120117,8557.519531,8418.990234,5154990080
2018-05-22 00:00:00,8419.870117,8041.779785,8004.580078,8423.25,8041.779785,5137010176
2018-05-23 00:00:00,8037.080078,7557.819824,7507.879883,8054.660156,7557.819824,6491120128
2018-05-24 00:00:00,7561.120117,7587.339844,7331.140137,7738.600098,7587.339844,6049220096
2018-05-25 00:00:00,7592.299805,7480.140137,7392.649902,7659.140137,7480.140137,4867829760
2018-05-26 00:00:00,7486.47998,7355.879883,7349.120117,7595.160156,7355.879883,4051539968
2018-05-27 00:00:00,7362.080078,7368.220215,7270.959961,7381.740234,7368.220215,4056519936
2018-05-28 00:00:00,7371.310059,7135.990234,7100.890137,7419.049805,7135.990234,5040600064
2018-05-29 00:00:00,7129.459961,7472.589844,7090.680176,7526.419922,7472.589844,5662660096
2018-05-30 00:00:00,7469.72998,7406.52002,7313.600098,7573.77002,7406.52002,4922540032
2018-05-31 00:00:00,7406.149902,7494.169922,7361.129883,7608.899902,7494.169922,5127130112
2018-06-01 00:00:00,7500.700195,7541.450195,7407.339844,7604.72998,7541.450195,4921460224
2018-06-02 00:00:00,7536.720215,7643.450195,7497.259766,7695.830078,7643.450195,4939299840
2018-06-03 00:00:00,7632.089844,7720.25,7613.040039,7754.890137,7720.25,4851760128
2018-06-04 00:00:00,7722.529785,7514.470215,7474.040039,7753.819824,7514.470215,4993169920
2018-06-05 00:00:00,7500.899902,7633.759766,7397,7643.22998,7633.759766,4961739776
2018-06-06 00:00:00,7625.970215,7653.97998,7502.009766,7680.430176,7653.97998,4692259840
2018-06-07 00:00:00,7650.819824,7678.240234,7650.819824,7741.27002,7678.240234,4485799936
2018-06-08 00:00:00,7685.140137,7624.919922,7558.399902,7698.189941,7624.919922,4227579904
2018-06-09 00:00:00,7632.52002,7531.97998,7531.97998,7683.580078,7531.97998,3845220096
2018-06-10 00:00:00,7499.549805,6786.02002,6709.069824,7499.549805,6786.02002,5804839936
2018-06-11 00:00:00,6799.290039,6906.919922,6706.629883,6910.180176,6906.919922,4745269760
2018-06-12 00:00:00,6905.819824,6582.359863,6542.080078,6907.959961,6582.359863,4654380032
2018-06-13 00:00:00,6596.879883,6349.899902,6285.629883,6631.660156,6349.899902,5052349952
2018-06-14 00:00:00,6342.75,6675.350098,6334.459961,6707.140137,6675.350098,5138710016
2018-06-15 00:00:00,6674.080078,6456.580078,6433.870117,6681.080078,6456.580078,3955389952
2018-06-16 00:00:00,6455.450195,6550.160156,6402.290039,6592.490234,6550.160156,3194170112
2018-06-17 00:00:00,6545.529785,6499.27002,6499.27002,6589.109863,6499.27002,3104019968
2018-06-18 00:00:00,6510.069824,6734.819824,6446.680176,6781.140137,6734.819824,4039200000
2018-06-19 00:00:00,6742.390137,6769.939941,6709.919922,6822.5,6769.939941,4057029888
