2023-04-24 15:05:06.515920,1839.37,0,UP
2023-04-24 15:05:06.779197,1839.37,0,
2023-04-24 15:05:07.886821,1839.37,0,
2023-04-24 15:05:08.979357,1839.60,0,UP
2023-04-24 15:05:10.099455,1839.60,0,
2023-04-24 15:05:11.181736,1839.25,0,DOWN
2023-04-24 15:05:12.263588,1839.70,0,UP
2023-04-24 15:05:13.421688,1839.70,0,
2023-04-24 15:05:14.511243,1840.00,0,UP
2023-04-24 15:05:15.600525,1840.06,0,UP
2023-04-24 15:05:16.688142,1840.42,0,UP
2023-04-24 15:05:17.768208,1840.49,0,UP
2023-04-24 15:05:18.873130,1840.55,0,UP
2023-04-24 15:05:19.966090,1840.72,0,UP
2023-04-24 15:05:21.038773,1840.70,0,DOWN
2023-04-24 15:05:22.142316,1840.84,0,UP
2023-04-24 15:05:23.250884,1841.35,level-0.5,UP
2023-04-24 15:05:24.369750,1841.35,0,
2023-04-24 15:05:25.494589,1841.65,0,UP
2023-04-24 15:05:26.582356,1842.00,0,UP
2023-04-24 15:05:27.664513,1842.02,0,UP
2023-04-24 15:05:28.766094,1842.05,0,UP
2023-04-24 15:05:29.857639,1842.18,0,UP
2023-04-24 15:05:30.959904,1842.18,0,
2023-04-24 15:05:32.041642,1842.26,0,UP
2023-04-24 15:05:33.122047,1842.27,0,UP
2023-04-24 15:05:34.211154,1842.27,0,
2023-04-24 15:05:35.317469,1841.65,level-0.5,DOWN
2023-04-24 15:05:36.397096,1841.35,0,DOWN
2023-04-24 15:05:37.515179,1841.04,0,DOWN
2023-04-24 15:05:38.809836,1840.90,0,DOWN
2023-04-24 15:05:39.917076,1839.55,level-1,DOWN
2023-04-24 15:05:41.028397,1839.21,0,DOWN
2023-04-24 15:05:42.106943,1839.87,level-0.5,UP
2023-04-24 15:05:43.190300,1839.37,level-0.5,DOWN
2023-04-24 15:05:44.270787,1839.37,0,
2023-04-24 15:05:45.351807,1839.37,0,
