update Buy success ID f8c98391-cfe6-412f-9f81-57fa47a4d40a  Trigger Price 1406.7 to New Price 1397.55
update Buy success ID 9b42653e-adf0-466b-a75c-f7815da5ecc3  Trigger Price 1406.7 to New Price 1396.85
update Buy success ID da3babd8-c6dc-4e57-a856-387e997734f1  Trigger Price 1406.7 to New Price 1397.0
update Buy success ID da3babd8-c6dc-4e57-a856-387e997734f1  Trigger Price 1397.0 to New Price 1396.85
update Buy success ID da3babd8-c6dc-4e57-a856-387e997734f1  Trigger Price 1396.85 to New Price 1396.8
update Buy success ID da3babd8-c6dc-4e57-a856-387e997734f1  Trigger Price 1396.8 to New Price 1396.75
update Buy success ID da3babd8-c6dc-4e57-a856-387e997734f1  Trigger Price 1396.75 to New Price 1396.7
update Buy success ID 20a632c7-3c94-4da9-8504-2fdedab6be69  Trigger Price 1599.71 to New Price 1584.61
update Buy success ID 20a632c7-3c94-4da9-8504-2fdedab6be69  Trigger Price 1584.61 to New Price 1584.59
update Buy success ID 20a632c7-3c94-4da9-8504-2fdedab6be69  Trigger Price 1584.59 to New Price 1584.16
update Buy success ID 20a632c7-3c94-4da9-8504-2fdedab6be69  Trigger Price 1584.16 to New Price 1584.1
update Buy success ID 20a632c7-3c94-4da9-8504-2fdedab6be69  Trigger Price 1584.1 to New Price 1584.09
update Buy success ID 9bb9842f-7197-4b2c-b53f-b78c1c55839f  Trigger Price 1615.38 to New Price 1586.75
update Buy success ID 9bb9842f-7197-4b2c-b53f-b78c1c55839f  Trigger Price 1586.75 to New Price 1586.58
update Buy success ID 9bb9842f-7197-4b2c-b53f-b78c1c55839f  Trigger Price 1586.58 to New Price 1586.36
update Buy success ID 9bb9842f-7197-4b2c-b53f-b78c1c55839f  Trigger Price 1586.36 to New Price 1586.35
update Buy success ID 9bb9842f-7197-4b2c-b53f-b78c1c55839f  Trigger Price 1586.35 to New Price 1586.12
update Buy success ID 4a271399-1fb9-4c7d-9198-8bf3d4370fda  Trigger Price 1616.01 to New Price 1585.48
update Buy success ID 4a271399-1fb9-4c7d-9198-8bf3d4370fda  Trigger Price 1585.48 to New Price 1585.21
update Buy success ID 4a271399-1fb9-4c7d-9198-8bf3d4370fda  Trigger Price 1585.21 to New Price 1584.92
update Buy success ID 4a271399-1fb9-4c7d-9198-8bf3d4370fda  Trigger Price 1584.92 to New Price 1584.87
update Buy success ID 4a271399-1fb9-4c7d-9198-8bf3d4370fda  Trigger Price 1584.87 to New Price 1584.69
update Buy success ID 4a271399-1fb9-4c7d-9198-8bf3d4370fda  Trigger Price 1584.69 to New Price 1584.68
update Buy success ID 4a271399-1fb9-4c7d-9198-8bf3d4370fda  Trigger Price 1584.68 to New Price 1584.45
update Buy success ID 4a271399-1fb9-4c7d-9198-8bf3d4370fda  Trigger Price 1584.45 to New Price 1584.44
update Buy success ID 4a271399-1fb9-4c7d-9198-8bf3d4370fda  Trigger Price 1584.44 to New Price 1584.43
update Buy success ID 4a271399-1fb9-4c7d-9198-8bf3d4370fda  Trigger Price 1584.43 to New Price 1583.66
update Buy success ID e4ce6f90-da12-4f36-a08c-9daa12a95349  Trigger Price 1585.4 to New Price 1584.29
